Waste Material, Disposal Method, Units
Portable Electronic Devices, "Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Flat Pannel Displays, "Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
CRT Displays, "Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Electronic Peripherals, "Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Hard Copy Devices, "Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Mixed Electronics, "Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Clay Bricks, Landfilled, "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Concrete, "Recycled, Landfilled", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Fly Ash, "Recycled, Landfilled", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Tires, "Recycled, Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Asphalt Concerte, "Recycled, Landfilled", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Asphalt Shingles, "Recycled, Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Drywall, Landfilled, "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Fiberglass Insulation, "Recycled, Landfilled", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Vinyl Flooring, "Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Wood Flooring, "Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
